Feature	Gain	Cover	Frequency
mv_status07_tend6	0.136957109390632	0.00515203088751864	0.000997410568715834
varnueva_02	0.0860822448913434	0.00726000711248485	0.0059461014673444
ctrx_quarter_avg6	0.0409113658979608	0.00373531779146086	0.0046801572839743
mcuenta_corriente	0.025179340148613	0.00690926311373253	0.00464179533902369
varnueva_02_avg6	0.0200643493801882	0.00350699719776235	0.00402800421981395
mcuentas_saldo	0.0196047239935438	0.00371407273165224	0.00491032895367795
mv_status04_tend6	0.0187975051297853	0.00186189979724908	0.000632972091685048
mv_status06_tend6	0.0161039231061496	0.00217498719914622	0.000460343339407308
mv_status04_avg6	0.0157561406078415	0.000589857902578694	0.000460343339407308
mv_status06_delta1	0.0136825494461716	0.0024690902112612	0.000268533614654263
mcuenta_corriente_tend6	0.00821942612177279	0.00434571462629177	0.00456507144912247
mprestamos_personales	0.00800011532697787	0.00364410982573267	0.00101659154119114
ctrx_quarter_normalizado_lag1	0.00738748183425052	0.00293046581579832	0.00412390908219047
ctrx_quarter_normalizado	0.00625520320114689	0.00589226352002806	0.00550493910041239
Visa_msaldopesos	0.00614662059410376	0.0028117687821299	0.00262779322911672
cpayroll_trx	0.00579378659551496	0.00101459769816674	0.000901505706339311
mv_mpagospesos	0.00550476892597478	0.00110770318260666	0.00197564016495636
ctarjeta_visa_trx	0.00518756068479493	0.00183770740703335	0.00387455644001151
varnueva_03_avg6	0.0051011958144178	0.00378618693746547	0.00389373741248681
mpayroll_sobre_edad	0.00472108715337604	0.00364678673937132	0.00105495348614175
varnueva_06	0.00464957551385819	0.00428695384119059	0.00120840126594418
ctrx_quarter	0.00442745409607817	0.00617786114608767	0.00838208497170807
ctrx_quarter_normalizado_avg6	0.00413554815830614	0.00428242789980524	0.00506377673348039
mdescubierto_preacordado	0.00394346386934328	0.000699493850811526	0.00038361944950609
mcuentas_saldo_lag1	0.00359009114879703	0.0015520910216953	0.00379783255011029
Master_fechaalta	0.00343114708960577	0.00164984562165071	0.00308813656852402
Visa_fultimo_cierre_tend6	0.00339758118416845	0.00177624847137453	0.00189891627505515
foto_mes	0.00334337349916609	0.00255821164969866	0.00189891627505515
Visa_msaldototal	0.0033067681326499	0.00172109867039891	0.00239762155941306
Master_Fvencimiento_lag1	0.00317870398982767	0.00331736248359272	0.00475688117387552
mrentabilidad_annual_tend6	0.00314983341987041	0.00335709994456024	0.00494869089862856
mv_Fvencimiento_lag1	0.0031273755035372	0.00288946263445901	0.00400882324733864
cliente_edad	0.0030972555846098	0.00433590281576989	0.00548575812793709
cliente_edad_lag1	0.00305515954888809	0.00502871447002131	0.00537067229308526
mpasivos_margen	0.00304645151603963	0.00467094636031315	0.00590773952239379
thomebanking_avg6	0.00303691538526674	0.00263858170776912	0.00377865157763499
