Feature	Gain	Cover	Frequency
Visa_status_avg6	0.123951848114786	0.00669698932112686	0.00206369952534911
mcaja_ahorro	0.104151626385711	0.00758069829223009	0.00667262846529545
mpasivos_margen_avg6	0.0562260156931102	0.00347069718534257	0.00233885946206232
ctarjeta_visa_trx	0.0288741566910069	0.0048870883090853	0.00481529889248126
cpayroll_trx	0.0196426264618697	0.00765291894202723	0.00151337965192268
varnueva_02	0.0190445910304973	0.00917707211794872	0.00708536837036528
ctrx_quarter_lag1	0.0161713007249516	0.00591399507771002	0.00550319873426429
ctrx_quarter_normalizado_lag1	0.015336717381669	0.00303550640795758	0.00412739905069822
varnueva_01	0.0135449239684677	0.00419593766582237	0.00103184976267455
mactivos_margen_avg6	0.0121824285368757	0.00175571358053947	0.00206369952534911
varnueva_05	0.0111597826622044	0.00665150396589507	0.00557198871844259
mtarjeta_visa_consumo	0.0109002016676219	0.00461310985434845	0.00536561876590768
mdescubierto_preacordado_delta1	0.00994674628789678	0.00678730820893529	0.000619109857604733
mpasivos_margen	0.00891293628241576	0.00317805563380972	0.0018573295728142
Master_status_lag1	0.00823285618908649	1.64589284159574e-05	6.87899841783036e-05
mpayroll	0.00750478367531024	0.00874757869319797	0.00247643943041893
mdescubierto_preacordado_tend6	0.00707091877271153	0.00572241285835955	0.000481529889248126
mprestamos_personales	0.00647345590403224	0.00793838150414237	0.0018573295728142
mv_status05_tend6	0.00599120447693465	0.00165732574594749	0.000894269794317947
mprestamos_personales_tend6	0.00590565362850388	0.00476750648524327	0.00103184976267455
mcomisiones	0.00561623363259596	0.00200291285240252	0.00343949920891518
mv_msaldototal	0.00520475073532011	0.00311293432427791	0.00440255898741143
mv_status04_tend6	0.0051121994513269	0.00162732646162764	0.00075668982596134
foto_mes	0.00491428409442614	0.0045404259390732	0.0037146591456284
ctrx_quarter_tend6	0.00484155640775122	0.00289833268714437	0.003852239113985
varnueva_06	0.00482570507546639	0.00461643561283337	0.00144458966774438
mes	0.00472300456083436	0.00786547164535324	0.00419618903487652
mv_mpagominimo_avg6	0.003987058880442	0.00317404879379734	0.00261401939877554
ctrx_quarter_normalizado_avg6	0.00395955803989647	0.0022715117383682	0.00282038935131045
varnueva_06_tend6	0.00390623114792381	0.00674494298733585	0.00137579968356607
mcuentas_saldo_tend6	0.00376939197979944	0.0026373866217784	0.00454013895576804
mdescubierto_preacordado_avg6	0.0035469850750784	0.0018185177499343	0.00075668982596134
