Feature	Gain	Cover	Frequency
mv_status07_tend6	0.213481752268039	0.0174875913635145	0.00462410501193317
ctrx_quarter	0.163930478976765	0.0111292944902467	0.0074582338902148
mcuentas_saldo	0.0653771373281454	0.00891853676193995	0.00865155131264917
cpayroll_trx	0.0282406710412315	0.0085522172838753	0.00223747016706444
varnueva_02	0.0162155187535675	0.00631195831022635	0.00880071599045346
mv_status01_tend6	0.0129704463772094	0.00203000260948567	0.000596658711217184
varnueva_03	0.0129349594812105	0.00242372226211701	0.00477326968973747
varnueva_05	0.0126099531109687	0.00565215463127177	0.00760739856801909
mv_status04_tend6	0.0125923594867695	0.00628967369008477	0.00178997613365155
mpayroll_sobre_edad	0.0119621933462447	0.0114005593147717	0.00417661097852029
mpasivos_margen	0.0108260262453712	0.00387569044392582	0.00522076372315036
varnueva_06	0.0101819607127673	0.00228344040139352	0.00149164677804296
mprestamos_personales	0.00909063271907759	0.00565526974515321	0.00164081145584726
varnueva_06_tend6	0.00811167201706085	0.00167147699817161	0.00104415274463007
mdescubierto_preacordado	0.00804639581800969	0.00244462017554672	0.00074582338902148
mprestamos_personales_tend6	0.0074183452382394	0.0071843240020637	0.00193914081145585
mtarjeta_visa_consumo_tend6	0.00715062814553168	0.000190228736365344	0.000894988066825776
foto_mes	0.0067729527887594	0.00747153927125541	0.00760739856801909
mes	0.00665318040949346	0.00360935318328279	0.00343078758949881
mdescubierto_preacordado_delta1	0.00589615576411917	0.00554960357837035	0.00104415274463007
mcomisiones_mantenimiento_tend6	0.00455647194917267	0.0092905567767667	0.00596658711217184
mcomisiones_mantenimiento_avg6	0.00450465850159459	0.00246335730355778	0.0037291169451074
ctrx_quarter_normalizado	0.00413124710826245	0.00342269958471606	0.00387828162291169
mpayroll	0.00383721655617752	0.0108696452696302	0.00492243436754177
varnueva_02_tend6	0.00364229465024731	0.00205537138036042	0.00387828162291169
mactivos_margen	0.00302165897684193	0.00252552356449957	0.00417661097852029
mcaja_ahorro_dolares_delta1	0.00302008542758223	0.00676319532825188	0.00328162291169451
varnueva_08	0.00301581794653871	0.00262872373768796	0.00477326968973747
mdescubierto_preacordado_avg6	0.00293677445722097	0.00087254483576664	0.000596658711217184
varnueva_04	0.0027261269571086	0.00432201648547018	0.00402744630071599
ctrx_quarter_normalizado_lag1	0.00271731621044563	0.00135728398022177	0.00298329355608592
tcallcenter_tend6	0.00257099521629635	0.00423494368922426	0.00208830548926014
mvr_mpagominimo_avg6	0.00254970383794039	0.00382798065574658	0.00268496420047733
mcuenta_corriente_avg6	0.00252928774399923	0.00318189143982275	0.00507159904534606
mv_msaldopesos	0.00246986319069324	0.000878549474877833	0.00134248210023866
mv_mpagominimo_avg6	0.00244044005055919	0.00257191741887728	0.00223747016706444
mcuentas_saldo_avg6	0.00243056679498275	0.00266096853913239	0.00283412887828162
mtarjeta_visa_debitos_automaticos_tend6	0.00240126626425682	0.00615331751423139	0.00432577565632458
cliente_edad_avg6	0.00236908144785888	0.00614954664510263	0.0074582338902148
mcuenta_corriente_tend6	0.0023373780667462	0.00644209089327719	0.00522076372315036
ccaja_ahorro	0.00227523913158177	0.00451797893339934	0.00223747016706444
mcuenta_corriente	0.00226659316833713	0.00182547221609914	0.0035799522673031
cliente_edad_lag1	0.00224742793626846	0.00518986155765992	0.00611575178997613
Visa_Finiciomora	0.00213952787856733	0.00529330501272758	0.00104415274463007
ccomisiones_mantenimiento_delta1	0.00206194699390827	0.00131447742773663	0.000596658711217184
cproductos_tend6	0.0020246599414634	0.00412034686581857	0.00253579952267303
thomebanking_avg6	0.00198445653338417	0.00226932120578178	0.0037291169451074
cproductos	0.00198245278800245	0.00541469935300556	0.00432577565632458
