archivo	iteracion_bayesiana	ganancia	corte
ZZ8410_103_09000.csv	103	15682000	9000
ZZ8410_103_09500.csv	103	15682000	9500
ZZ8410_103_10000.csv	103	15682000	10000
ZZ8410_103_10500.csv	103	15682000	10500
ZZ8410_103_11000.csv	103	15682000	11000
ZZ8410_103_11500.csv	103	15682000	11500
ZZ8410_103_12000.csv	103	15682000	12000
ZZ8410_103_12500.csv	103	15682000	12500
ZZ8410_103_13000.csv	103	15682000	13000
ZZ8410_068_09000.csv	68	15376000	9000
ZZ8410_068_09500.csv	68	15376000	9500
ZZ8410_068_10000.csv	68	15376000	10000
ZZ8410_068_10500.csv	68	15376000	10500
ZZ8410_068_11000.csv	68	15376000	11000
ZZ8410_068_11500.csv	68	15376000	11500
ZZ8410_068_12000.csv	68	15376000	12000
ZZ8410_068_12500.csv	68	15376000	12500
ZZ8410_068_13000.csv	68	15376000	13000
ZZ8410_072_09000.csv	72	15254000	9000
ZZ8410_072_09500.csv	72	15254000	9500
ZZ8410_072_10000.csv	72	15254000	10000
ZZ8410_072_10500.csv	72	15254000	10500
ZZ8410_072_11000.csv	72	15254000	11000
ZZ8410_072_11500.csv	72	15254000	11500
ZZ8410_072_12000.csv	72	15254000	12000
ZZ8410_072_12500.csv	72	15254000	12500
ZZ8410_072_13000.csv	72	15254000	13000
